index_label,Publisher,_1970s,_1980s,_1990s,_2000s,_2010s
0,Nintendo,0,270.41,363.12,910.91,239.99
1,Microsoft Game Studios,0,0,6.21,164.9,74.68
2,Take-Two Interactive,0,0,15.88,243.22,140.2
3,Sony Computer Entertainment,0,0,193.42,324.33,89.45
4,Activision,3.02,15.39,40.38,430.36,232.26
5,Ubisoft,0,0,13.1,282.92,177.52
6,Bethesda Softworks,0,0,0,24.17,57.36
7,Electronic Arts,0,0,110.11,703.74,279.54
8,Sega,0,3,48.97,179.45,39.28
9,SquareSoft,0,4.1,51.05,2.5,0
10,Atari,8.36,32.94,8.57,96.6,0.3
11,505 Games,0,0,0,45.07,10.84
12,Capcom,0,15.64,30.9,115.55,37.86
13,GT Interactive,0,0,25.23,0,0
14,Konami Digital Entertainment,0,9,55.38,177.67,36.51
15,Sony Computer Entertainment Europe,0,0,0,4.88,19.01
16,Square Enix,0,0,0,85.3,59.43
17,LucasArts,0,0,6.39,70.83,7.73
18,Virgin Interactive,0,0,38.76,5.11,0
19,Warner Bros. Interactive Entertainment,0,0,0,43.93,98.41
20,Universal Interactive,0,0,0,17.6,0
21,Eidos Interactive,0,0,43.32,53.43,0
22,RedOctane,0,0,0,8.68,0
23,Vivendi Games,0,0,4.73,52.2,0
24,Enix Corporation,0,9.55,17.62,6.57,0
25,Namco Bandai Games,0,17,42.02,114.97,79.66
27,Hasbro Interactive,0,0,15.03,0.19,0
